dataset_id,distance_bin,relative_distance,relative_gradient_mean,relative_gradient_ci_low,relative_gradient_ci_high,relative_abs_advantage_mean,relative_abs_advantage_ci_low,relative_abs_advantage_ci_high,n_seeds,n_pairs
halfcheetah-medium-expert-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
halfcheetah-medium-expert-v2,0,2.1816570104249435,2.1994081204482425,2.079122237860828,2.3402012132389047,1.000002159838759,0.9999686854685419,1.0000370887030272,10,92
halfcheetah-medium-expert-v2,1,2.3087090154618664,2.3097316603401916,2.193233138298955,2.4300858043412004,1.0000539518335323,0.9999294796125916,1.0002424315315699,10,91
halfcheetah-medium-expert-v2,2,2.393199258548665,2.484616202653053,2.394539082199872,2.5860396346615473,1.0000350401752507,0.9999929951646074,1.000086267109913,10,91
halfcheetah-medium-expert-v2,3,2.6488599931976133,2.737475833756749,2.622383326686054,2.8580101888133895,0.9999671074458341,0.9999025982833714,1.0000158374783144,10,92
halfcheetah-medium-expert-v2,4,2.8114385654283884,2.97077007871532,2.7556597124172444,3.2036474579725356,1.0000337572836266,1.000003341097141,1.000069114342409,10,91
halfcheetah-medium-expert-v2,5,2.9472034058775924,3.0328727023035715,2.8834525493337657,3.1715516745838594,0.9999994603998829,0.9999816681746405,1.000012033488765,10,91
halfcheetah-medium-expert-v2,6,3.627842508122371,3.921587514038979,3.5991443480360124,4.223193990546997,0.9998939513437719,0.9996871738004567,1.000000016173486,10,92
halfcheetah-medium-replay-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
halfcheetah-medium-replay-v2,0,2.6503618423845667,2.8493141388168697,2.724905810189357,2.9815709708274385,1.0002401100641005,1.0000039066552682,1.0006070312756579,10,92
halfcheetah-medium-replay-v2,1,2.839624991379845,3.1388778676335987,2.937678008540936,3.329406983994786,0.9998687366491682,0.9995908474404812,1.0000705301558646,10,91
halfcheetah-medium-replay-v2,2,3.320551084121469,3.7522376876357364,3.430397445191858,4.126281990348609,1.0002616689897148,0.9999977618762366,1.0006392296690956,10,91
halfcheetah-medium-replay-v2,3,3.4595578705938244,3.9195542864782262,3.636519091266456,4.229898235844541,1.0001934925978324,0.9998879061887168,1.0006337913527465,10,92
halfcheetah-medium-replay-v2,4,3.8622824743363124,4.348628084414342,4.088139365181137,4.614152042735536,1.001014281288753,0.9998937462685905,1.0026815473098316,10,91
halfcheetah-medium-replay-v2,5,4.3389536011285,5.145855164292832,4.697425288348056,5.680948046596576,0.9998390911981356,0.9996053126958026,1.0000241815200193,10,91
halfcheetah-medium-replay-v2,6,5.533452044947581,6.798146464071927,6.083179499962009,7.546757799253892,1.0000025941290542,0.999748231086217,1.0002426647420128,10,92
halfcheetah-medium-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
halfcheetah-medium-v2,0,2.177399662056222,2.240151900083886,2.118830753979813,2.379239367609735,1.0001640098905409,1.000001287149212,1.0004236554102102,10,92
halfcheetah-medium-v2,1,2.1696458104530656,2.2386757594488715,2.135380801539768,2.3592198428226383,1.0000947764466668,0.9999035715939166,1.0003661499201904,10,91
halfcheetah-medium-v2,2,2.353201744318314,2.3552184345143434,2.258440713427788,2.464721937004245,1.0000150594250798,0.9999754469080356,1.0000695635071386,10,91
halfcheetah-medium-v2,3,2.4169394070881713,2.484209691553434,2.3673037774347336,2.5917348108852423,0.9999800660260588,0.9999531558200404,1.000002920352348,10,92
halfcheetah-medium-v2,4,2.7739783809787335,2.921629114113066,2.6284145793678535,3.2404093679109414,0.9999961301297347,0.9999343123969796,1.0000473443349691,10,91
halfcheetah-medium-v2,5,2.914314534463135,3.081265407461412,2.859970775517814,3.3407849422771365,0.9999690385957314,0.9999285705107944,0.9999948700178499,10,91
halfcheetah-medium-v2,6,3.434012958121465,3.804088052059928,3.6152373231394286,3.9839424233008547,0.9999754351200286,0.9999353546101875,1.0000102107638762,10,92
hopper-medium-expert-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
hopper-medium-expert-v2,0,3.1471738080577736,3.132014269340234,2.810207988398664,3.4476302061589297,0.9999828603378376,0.999955592748186,1.000011465590578,10,92
hopper-medium-expert-v2,1,3.2141187152085577,3.2358349966752007,2.9729098407370915,3.4547107074269294,1.0000094211895227,0.9999955833876074,1.0000253901698173,10,91
hopper-medium-expert-v2,2,3.546626030039058,3.4352121921355887,3.0498875291345775,3.9285259049398533,1.0000900327981253,0.9999850859353826,1.0002757306938768,10,91
hopper-medium-expert-v2,3,4.503638039758797,4.321112522082833,3.5662970617460665,5.441166956882793,1.0000019564777287,0.9999882861377288,1.0000114415558923,10,92
hopper-medium-expert-v2,4,3.9199717296797254,4.0753188581413475,3.760324199192828,4.396590528381221,1.0000460816541268,0.9999970384043182,1.00012933740552,10,91
hopper-medium-expert-v2,5,4.214797268744503,4.259200576771547,3.879817571375114,4.792754944133159,0.9999938266578736,0.9999648140664572,1.0000161624722936,10,91
hopper-medium-expert-v2,6,7.053384633899343,8.581103116766695,7.358095316696008,10.074978162910554,1.000012775009401,0.9999900777142503,1.0000432969463509,10,92
hopper-medium-replay-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
hopper-medium-replay-v2,0,3.3498043848800085,3.391281057569594,2.989272321874498,3.888247877149654,1.0001313759829438,0.9999800755462549,1.0003361120061864,10,92
hopper-medium-replay-v2,1,3.376490013041315,3.4886902220723783,3.2591619215183956,3.7192659210007015,1.0000375333982674,0.9999719996886346,1.0001165396580702,10,91
hopper-medium-replay-v2,2,3.65891403157448,3.690557314333892,3.4062690199228776,3.9604865184889015,1.0001617721517018,0.9998779113852533,1.0006534170282035,10,91
hopper-medium-replay-v2,3,4.57230477046514,4.97867210470263,4.2298183789228325,5.841163146696916,1.0007063996771177,1.0000020031761447,1.0019966673338252,10,92
hopper-medium-replay-v2,4,4.469822180142399,4.595533163083224,4.234390680405139,5.036618402630362,0.9998094452018348,0.9994442800110133,1.000015478208454,10,91
hopper-medium-replay-v2,5,5.689691089262363,5.595234671476822,4.478072612774694,7.254630134390296,0.9999944029904532,0.9996867380756569,1.0002365535110185,10,91
hopper-medium-replay-v2,6,6.689923750798918,7.159437692023197,6.223235874202188,8.126704324839858,0.9999326214335202,0.9997908225722618,1.0000208345120136,10,92
hopper-medium-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
hopper-medium-v2,0,3.283236702132038,3.1859385104426456,2.8468367339244804,3.6030762584936706,1.0000384003522351,1.0000072585291535,1.0000814027162324,10,92
hopper-medium-v2,1,3.4512423003198904,3.4462148176655285,3.0826458734889286,3.850446692047304,1.000013065756876,0.9999878991554082,1.0000420377442034,10,91
hopper-medium-v2,2,3.6401571211321753,3.526401867046286,3.2951815899712953,3.7546515536183414,0.9999945546599152,0.9999518735809035,1.0000359835768908,10,91
hopper-medium-v2,3,3.7686831156746186,3.564362358200151,3.1107770460496225,4.044130603710774,0.9999539243445215,0.9999170265672384,0.9999857001182983,10,92
hopper-medium-v2,4,3.9449885324178267,4.222501033364395,3.4839711997518856,5.1038851100855895,0.9999703758015605,0.9999365261618619,1.0000027302510992,10,91
hopper-medium-v2,5,4.91662059621467,5.027845643643936,4.40538833026148,5.829790318094743,0.9999127070464311,0.9997670268596636,1.0000239733555978,10,91
hopper-medium-v2,6,5.5268602872694625,6.557779068319816,6.0221066405244,7.0451457437146665,1.0000785469295785,1.0000044863127233,1.0001762560786802,10,92
walker2d-medium-expert-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
walker2d-medium-expert-v2,0,2.220981631764266,2.2167759217488587,2.0684408915569743,2.3714239940003594,1.0000091200368826,0.9999632197524907,1.0000588556295293,10,92
walker2d-medium-expert-v2,1,2.2784959350537792,2.3585292084141263,2.2542084902254995,2.4778776035604078,1.0000083384250877,0.9999872888884083,1.0000279531101268,10,91
walker2d-medium-expert-v2,2,2.286836305018033,2.348419920112879,2.2388080490387408,2.474394818168057,0.9998937331332394,0.999712636877682,1.000022581153758,10,91
walker2d-medium-expert-v2,3,2.565545900074544,2.64609632552519,2.472750006784949,2.8386491872233384,0.9999848440317457,0.9999657481214512,1.0000018964404562,10,92
walker2d-medium-expert-v2,4,2.7316362083526946,2.851009057238115,2.6744196281336694,3.077418779408299,0.9999918490457267,0.9999729537026297,1.0000184610968774,10,91
walker2d-medium-expert-v2,5,2.9399704336362866,3.2366703449736938,3.0799897525802535,3.399821111868061,1.000222289484494,0.9999595996964251,1.0007220905998564,10,91
walker2d-medium-expert-v2,6,3.7885057895398573,4.267658362761989,3.922998156303834,4.614389328672711,0.999999982543369,0.9999701618640839,1.000040704996131,10,92
walker2d-medium-replay-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
walker2d-medium-replay-v2,0,2.5316731611637975,2.87967462094408,2.7950094678098583,2.9871866079550045,0.9994444770802152,0.998745516283485,1.0000328848762863,10,92
walker2d-medium-replay-v2,1,2.747685611957826,3.1114256668540805,2.860013351487408,3.4594844969966934,0.9999285572490828,0.9997684195482386,1.0001112875762008,10,91
walker2d-medium-replay-v2,2,2.9733980409242284,3.369932397800936,3.0994736951237445,3.66103102232088,1.0001487513200982,0.9999432056229907,1.000469306904746,10,91
walker2d-medium-replay-v2,3,3.222092161356413,3.6015099204994576,3.349570142247349,3.848000470432048,1.000070551456513,0.9999805191583087,1.0001714536191308,10,92
walker2d-medium-replay-v2,4,3.4953351843367306,3.9205239571442485,3.6218950876410108,4.212868823245235,0.9999829241629564,0.9998617178787431,1.0001262662819395,10,91
walker2d-medium-replay-v2,5,4.058106841643861,4.819441658177698,4.627909904321542,5.0284497787476585,1.0000127965673684,0.9998655802379618,1.0001360914169959,10,91
walker2d-medium-replay-v2,6,5.574555215311433,7.150428335222065,6.703982080266688,7.538787998448651,1.0003327165292402,0.9998468765551759,1.0010786151154225,10,92
walker2d-medium-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
walker2d-medium-v2,0,2.2001441296859405,2.2484493700492783,2.099575827020246,2.398762388625432,1.000147722435944,0.9997700663036015,1.0006926655631334,10,92
walker2d-medium-v2,1,2.4231606238072048,2.550773832700856,2.366966599324329,2.7816566185643943,1.0001191472511974,0.9999558445647846,1.0004010042643727,10,91
walker2d-medium-v2,2,2.487615924206769,2.6423903951679177,2.522713540360969,2.760504066996188,0.9998623808811062,0.9995623815504678,1.0000271037155462,10,91
walker2d-medium-v2,3,2.4923055652004984,2.686261587743037,2.496179538050835,2.9197160710043013,0.9999770853607817,0.9999268442818124,1.0000198372855555,10,92
walker2d-medium-v2,4,2.782089728429327,3.0751810093385292,2.9066248001644137,3.2427774118977895,1.000008546140045,0.9999894417339329,1.0000308880131328,10,91
walker2d-medium-v2,5,3.2268853002662583,3.575861874746792,3.304481468745025,3.887065975446512,0.9999495275542387,0.9998823873982037,1.0000032249318391,10,91
walker2d-medium-v2,6,4.1654761126534385,5.287878177907659,4.717892775751263,5.873722838569157,0.9999690096710205,0.9998990687869007,1.0000238328674451,10,92
